Description,Description_numeric,LengthofDetectionkm,NumberofLanes,Date,Year,Month,Day,Hour,Minutes,DayofWeek,DayofWeek_numeric,TimeofDay,TimeofDay_numeric,DetectedDevices,StayTime,Speedkmh,TotalTravelTimeseconds,TravelTimehour,TravelTimeminutes,TravelTimeseconds,DerivedFFStraveltime,DerivedLostTime,DerivedGainedTime,Temperature,Weather,Weather_numeric,LevelofService,LOS_numeric
Southbound,2,3.547735667,4,12/24/2019 22:00:00,2019,12,24,22,0,3,3,Late Evening,7,813,0.72,73.91,174.54,0,2,54,127.72,46.82,0,27,haze,17,F,6
Southbound,2,3.547182222,4,12/24/2019 23:00:00,2019,12,24,23,0,3,3,Late Evening,7,651,0.87,80.93,158.13,0,2,38,127.7,30.43,0,27,haze,17,F,6
Southbound,2,3.547497917,4,12/25/2019 0:00:00,2019,12,25,0,0,4,4,Late Night,1,496,0.85,87.16,146.76,0,2,26,127.71,19.05,0,27,haze,17,F,6
Southbound,2,3.548246722,4,12/25/2019 1:00:00,2019,12,25,1,0,4,4,Late Night,1,280,0.81,89.12,143.37,0,2,23,127.74,15.63,0,26,haze,17,D,4
Southbound,2,3.547716667,4,12/25/2019 2:00:00,2019,12,25,2,0,4,4,Late Night,1,160,0.66,98.82,129.29,0,2,9,127.72,1.57,0,26,haze,17,C,3
Southbound,2,3.551288667,4,12/25/2019 3:00:00,2019,12,25,3,0,4,4,Late Night,1,107,1.29,82.89,154.38,0,2,34,127.85,26.53,0,26,haze,17,B,2
Southbound,2,3.547141667,4,12/25/2019 4:00:00,2019,12,25,4,0,4,4,Early Morning,2,100,1.04,88.88,144.1,0,2,24,127.7,16.4,0,26,haze,17,B,2
Southbound,2,3.595690083,4,12/25/2019 5:00:00,2019,12,25,5,0,4,4,Early Morning,2,147,0.71,90.39,141.33,0,2,21,129.44,11.89,0,25,haze,17,B,2
Southbound,2,3.547699417,4,12/25/2019 6:00:00,2019,12,25,6,0,4,4,Early Morning,2,289,0.9,90.88,141.46,0,2,21,127.72,13.74,0,25,haze,17,D,4
Southbound,2,3.550308667,4,12/25/2019 7:00:00,2019,12,25,7,0,4,4,Early Morning,2,422,0.61,79.55,161.67,0,2,41,127.81,33.86,0,24,mist,16,F,6
Southbound,2,3.551015972,4,12/25/2019 8:00:00,2019,12,25,8,0,4,4,Early Morning,2,496,0.44,81.98,157.52,0,2,37,127.84,29.68,0,23,mist,16,F,6
Southbound,2,3.552184028,4,12/25/2019 9:00:00,2019,12,25,9,0,4,4,Late Morning,3,537,0.54,75.71,170.74,0,2,50,127.88,42.86,0,23,haze,17,F,6
Southbound,2,3.54827825,4,12/25/2019 10:00:00,2019,12,25,10,0,4,4,Late Morning,3,621,0.52,79.22,161.86,0,2,41,127.74,34.12,0,25,haze,17,F,6
Southbound,2,3.548112944,4,12/25/2019 11:00:00,2019,12,25,11,0,4,4,Late Morning,3,1209,0.08,85.56,149.52,0,2,29,127.73,21.79,0,26,haze,17,F,6
Southbound,2,3.547224722,4,12/25/2019 12:00:00,2019,12,25,12,0,4,4,Early Afternoon,4,1235,0,92.35,138.64,0,2,18,127.7,10.94,0,29,haze,17,F,6
Southbound,2,3.547810889,4,12/25/2019 13:00:00,2019,12,25,13,0,4,4,Early Afternoon,4,878,0.54,86.43,147.91,0,2,27,127.72,20.19,0,30,clear sky,1,F,6
Southbound,2,3.546953056,4,12/25/2019 14:00:00,2019,12,25,14,0,4,4,Early Afternoon,4,803,0.59,82.81,154.68,0,2,34,127.69,26.99,0,32,clear sky,1,F,6
Southbound,2,3.547322333,4,12/25/2019 15:00:00,2019,12,25,15,0,4,4,Late Afternoon,5,909,0.56,82.4,155.71,0,2,35,127.7,28.01,0,33,clear sky,1,F,6
Southbound,2,3.547013889,4,12/25/2019 16:00:00,2019,12,25,16,0,4,4,Late Afternoon,5,801,0.53,86.1,148.48,0,2,28,127.69,20.79,0,35,clear sky,1,F,6
Southbound,2,3.547060694,4,12/25/2019 17:00:00,2019,12,25,17,0,4,4,Late Afternoon,5,883,0.59,89.65,142.54,0,2,22,127.69,14.85,0,28,clear sky,1,F,6
Southbound,2,3.548002889,4,12/25/2019 18:00:00,2019,12,25,18,0,4,4,Evening,6,1490,0,87.68,145.7,0,2,25,127.73,17.97,0,33,clear sky,1,F,6
