Local Date, Local Time, Day Type ID, NTIS Link Number, Road, Carriageway, NTIS Link Description, NTIS Model Version, Link Length, Start Node Coordinates, End Node Coordinates, Total Traffic Flow, Profile Traffic Flow, Traffic Flow %value1, Traffic Flow %value2, Traffic Flow %value3, Traffic Flow %value4, Flow Quality, Fused Travel Time, Profile Travel Time, Fused Average Speed, Quality Index
2019-02-03,10:29:53,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,250,250,,,,,0,22.80,21.00,37.87,15
2019-02-03,10:44:52,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,270,270,,,,,0,25.20,21.00,33.27,15
2019-02-03,10:59:53,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,285,285,,,,,0,22.60,21.00,37.53,15
2019-02-03,11:14:54,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,300,300,,,,,0,22.73,22.00,37.27,15
2019-02-03,11:29:56,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,305,305,,,,,0,23.60,23.00,36.07,15
2019-02-03,11:44:56,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,325,325,,,,,0,26.40,24.00,31.80,15
2019-02-03,11:59:56,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,345,345,,,,,0,24.87,24.00,33.80,15
2019-02-03,12:14:58,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,365,365,,,,,0,23.60,23.67,35.87,15
2019-02-03,12:29:27,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,370,370,,,,,0,25.33,24.00,33.60,15
2019-02-03,12:44:56,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,355,355,,,,,0,25.27,24.00,33.47,15
2019-02-03,12:59:55,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,345,345,,,,,0,25.40,24.00,33.07,15
2019-02-03,13:14:55,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,345,345,,,,,0,25.40,22.67,33.33,15
2019-02-03,13:29:55,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,330,330,,,,,0,25.77,22.00,32.92,13
2019-02-03,13:44:54,6,200055789,A4010,roundabout,A4010 northbound between M40/A404 and A40,1.00,233.72397,51.613246934649503 ; -0.769753885404845,51.613725576403297 ; -0.772528478306481,330,330,,,,,0,24.67,20.00,34.47,15
